date,hospitalizations
2020-07-12,1.0
2020-07-11,5.0
2020-07-10,14.0
2020-07-09,26.0
2020-07-08,25.0
2020-07-07,19.0
2020-07-06,24.0
2020-07-05,29.0
2020-07-04,38.0
2020-07-03,48.0
2020-07-02,41.0
2020-07-01,61.0
2020-06-30,40.0
2020-06-29,52.0
2020-06-28,63.0
2020-06-27,62.0
2020-06-26,63.0
2020-06-25,69.0
2020-06-24,88.0
2020-06-23,86.0
2020-06-22,63.0
2020-06-21,93.0
2020-06-20,75.0
2020-06-19,75.0
2020-06-18,85.0
2020-06-17,113.0
2020-06-16,76.0
2020-06-15,76.0
2020-06-14,78.0
2020-06-13,79.0
2020-06-12,75.0
2020-06-11,90.0
2020-06-10,97.0
2020-06-09,77.0
2020-06-08,72.0
2020-06-07,78.0
2020-06-06,55.0
2020-06-05,76.0
2020-06-04,79.0
2020-06-03,74.0
2020-06-02,52.0
2020-06-01,55.0
2020-05-31,60.0
2020-05-30,54.0
2020-05-29,52.0
2020-05-28,47.0
2020-05-27,51.0
2020-05-26,43.0
2020-05-25,40.0
2020-05-24,58.0
2020-05-23,49.0
2020-05-22,39.0
2020-05-21,42.0
2020-05-20,55.0
2020-05-19,30.0
2020-05-18,37.0
2020-05-17,43.0
2020-05-16,52.0
2020-05-15,39.0
2020-05-14,44.0
2020-05-13,41.0
2020-05-12,35.0
2020-05-11,36.0
2020-05-10,57.0
2020-05-09,48.0
2020-05-08,52.0
2020-05-07,57.0
2020-05-06,46.0
2020-05-05,56.0
2020-05-04,46.0
2020-05-03,49.0
2020-05-02,53.0
2020-05-01,60.0
2020-04-30,52.0
2020-04-29,57.0
2020-04-28,44.0
2020-04-27,46.0
2020-04-26,54.0
2020-04-25,44.0
2020-04-24,44.0
2020-04-23,30.0
2020-04-22,67.0
2020-04-21,47.0
2020-04-20,52.0
2020-04-19,31.0
2020-04-18,45.0
2020-04-17,43.0
2020-04-16,50.0
2020-04-15,48.0
2020-04-14,37.0
2020-04-13,42.0
2020-04-12,45.0
2020-04-11,43.0
2020-04-10,54.0
2020-04-09,34.0
2020-04-08,59.0
2020-04-07,49.0
2020-04-06,44.0
2020-04-05,51.0
2020-04-04,34.0
2020-04-03,48.0
2020-04-02,56.0
2020-04-01,52.0
2020-03-31,41.0
2020-03-30,43.0
2020-03-29,40.0
2020-03-28,39.0
2020-03-27,45.0
2020-03-26,30.0
2020-03-25,43.0
2020-03-24,17.0
2020-03-23,20.0
2020-03-22,22.0
2020-03-21,18.0
2020-03-20,12.0
2020-03-19,13.0
2020-03-18,6.0
2020-03-17,10.0
2020-03-16,4.0
2020-03-15,6.0
2020-03-14,5.0
2020-03-13,3.0
2020-03-12,2.0
2020-03-11,1.0
2020-03-10,1.0
2020-03-09,1.0
2020-03-08,1.0
2020-03-07,1.0
2020-03-06,1.0
2020-03-05,
2020-03-04,
2020-03-03,
2020-03-02,
2020-03-01,
2020-02-28,
2020-02-27,
2020-02-26,
2020-02-25,
2020-02-24,
2020-02-23,
2020-02-22,
2020-02-16,
